thr,f1,mae_onset,mae_recov,skill_onset,skill_recov,composite,recall
0.6,0.6402555910543131,15.971428571428572,17.134285714285713,0.0,0.0,0.21341853035143768,0.47714285714285715
0.61,0.6402555910543131,15.971428571428572,17.134285714285713,0.0,0.0,0.21341853035143768,0.47714285714285715
0.62,0.639386189258312,15.997142857142856,17.16190476190476,0.0,0.0,0.21312872975277067,0.47619047619047616
0.63,0.6393337604099936,16.024761904761906,17.186666666666667,0.0,0.0,0.21311125346999785,0.47523809523809524
0.64,0.6388710711994868,16.052380952380954,17.21047619047619,0.0,0.0,0.21295702373316228,0.4742857142857143
0.65,0.6392811296534018,16.052380952380954,17.21047619047619,0.0,0.0,0.21309370988446727,0.4742857142857143
0.66,0.6375321336760925,16.106666666666666,17.264761904761905,0.0,0.0,0.21251071122536416,0.4723809523809524
0.67,0.6366559485530546,16.134285714285713,17.291428571428572,0.0,0.0,0.21221864951768488,0.4714285714285714
0.68,0.6366559485530546,16.134285714285713,17.291428571428572,0.0,0.0,0.21221864951768488,0.4714285714285714
0.6900000000000001,0.6353092783505154,16.19142857142857,17.346666666666668,0.0,0.0,0.21176975945017182,0.4695238095238095
0.7000000000000001,0.63571889103804,16.19142857142857,17.346666666666668,0.0,0.0,0.21190629701268002,0.4695238095238095
0.71,0.6339573918657199,16.245714285714286,17.398095238095237,0.0,0.0,0.21131913062190663,0.4676190476190476
0.72,0.6330749354005168,16.272380952380953,17.425714285714285,0.0,0.0,0.21102497846683896,0.4666666666666667
0.73,0.632191338073691,16.30095238095238,17.44952380952381,0.0,0.0,0.21073044602456367,0.4657142857142857
0.74,0.6317152103559871,16.32857142857143,17.47714285714286,0.0,0.0,0.21057173678532903,0.46476190476190476
0.75,0.6308290155440415,16.356190476190477,17.504761904761907,0.0,0.0,0.2102763385146805,0.4638095238095238
0.76,0.6299416720674011,16.384761904761906,17.527619047619048,0.0,0.0,0.20998055735580037,0.46285714285714286
0.77,0.62905317769131,16.412380952380953,17.548571428571428,0.0,0.0,0.20968439256377,0.46190476190476193
0.78,0.6281635301752109,16.440952380952382,17.575238095238095,0.0,0.0,0.20938784339173697,0.46095238095238095
0.79,0.6245933636955108,16.554285714285715,17.673333333333332,0.0,0.0,0.2081977878985036,0.45714285714285713
0.8,0.6228013029315961,16.60952380952381,17.72095238095238,0.0,0.0,0.20760043431053202,0.4552380952380952
0.81,0.6173969914977109,16.777142857142856,17.875238095238096,0.0,0.0,0.20579899716590364,0.44952380952380955
0.8200000000000001,0.6128608923884514,16.915238095238095,18.006666666666668,0.0,0.0,0.2042869641294838,0.44476190476190475
0.8300000000000001,0.6055408970976254,17.14,18.21142857142857,0.0,0.0,0.20184696569920846,0.43714285714285717
0.84,0.5887850467289719,17.645714285714284,18.66761904761905,0.0,0.0,0.19626168224299065,0.42
0.85,0.5299026425591099,19.32857142857143,20.204761904761906,0.0,0.0,0.17663421418636996,0.3628571428571429
0.86,0.5251396648044693,19.46761904761905,20.334285714285713,0.0,0.0,0.1750465549348231,0.3580952380952381
0.87,0.5241090146750524,19.496190476190478,20.36,0.0,0.0,0.17470300489168414,0.35714285714285715
0.88,0.5116279069767442,19.833333333333332,20.663809523809523,0.0,0.0,0.17054263565891473,0.3457142857142857
0.89,0.4332344213649852,21.825714285714287,22.51142857142857,0.0,0.0,0.1444114737883284,0.2780952380952381
0.9,0.4323922734026746,21.854285714285716,22.53904761904762,0.0,0.0,0.14413075780089155,0.27714285714285714
0.91,0.4253731343283582,22.02095238095238,22.69333333333333,0.0,0.0,0.1417910447761194,0.2714285714285714
0.92,0.42333582647718776,22.078095238095237,22.743809523809524,0.0,0.0,0.1411119421590626,0.2695238095238095
0.93,0.4150375939849624,22.275238095238095,22.919047619047618,0.0,0.0,0.13834586466165413,0.26285714285714284
0.9400000000000001,0.403030303030303,22.554285714285715,23.17238095238095,0.0,0.0,0.13434343434343435,0.25333333333333335
0.9500000000000001,0.38620689655172413,22.946666666666665,23.533333333333335,0.0,0.0,0.12873563218390804,0.24
